chr1	x1	x2	chr2	y1	y2	color	comment
chr1	12200000	12300000	chr1	12900000	13000000	0,0,255	significant differentially interacting region
chr1	12200000	12300000	chr1	13700000	13800000	0,0,255	significant differentially interacting region
chr1	12300000	12400000	chr1	12700000	12800000	0,0,255	significant differentially interacting region
chr1	12300000	12400000	chr1	12800000	12900000	0,0,255	significant differentially interacting region
chr1	12300000	12400000	chr1	12900000	13000000	0,0,255	significant differentially interacting region
chr1	12300000	12400000	chr1	13700000	13800000	0,0,255	significant differentially interacting region
chr1	12600000	12700000	chr1	59200000	59300000	0,0,255	significant differentially interacting region
chr1	12700000	12800000	chr1	13700000	13800000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15100000	15200000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15200000	15300000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15300000	15400000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15400000	15500000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15500000	15600000	0,0,255	significant differentially interacting region
chr1	12900000	13000000	chr1	15700000	15800000	0,0,255	significant differentially interacting region
chr1	13100000	13200000	chr1	15400000	15500000	0,0,255	significant differentially interacting region
chr1	13700000	13800000	chr1	15200000	15300000	0,0,255	significant differentially interacting region
chr1	13700000	13800000	chr1	15300000	15400000	0,0,255	significant differentially interacting region
chr1	13700000	13800000	chr1	15500000	15600000	0,0,255	significant differentially interacting region
chr1	13700000	13800000	chr1	15600000	15700000	0,0,255	significant differentially interacting region
chr1	13700000	13800000	chr1	15700000	15800000	0,0,255	significant differentially interacting region
chr1	14600000	14700000	chr1	16500000	16600000	0,0,255	significant differentially interacting region
chr1	14700000	14800000	chr1	15300000	15400000	0,0,255	significant differentially interacting region
chr1	14700000	14800000	chr1	16100000	16200000	0,0,255	significant differentially interacting region
chr1	14700000	14800000	chr1	17000000	17100000	0,0,255	significant differentially interacting region
chr1	14800000	14900000	chr1	15300000	15400000	0,0,255	significant differentially interacting region
chr1	15200000	15300000	chr1	18900000	19000000	0,0,255	significant differentially interacting region
chr1	16000000	16100000	chr1	17400000	17500000	0,0,255	significant differentially interacting region
chr1	16300000	16400000	chr1	17400000	17500000	0,0,255	significant differentially interacting region
chr1	16500000	16600000	chr1	17300000	17400000	0,0,255	significant differentially interacting region
chr1	16500000	16600000	chr1	17400000	17500000	0,0,255	significant differentially interacting region
chr1	16500000	16600000	chr1	17600000	17700000	0,0,255	significant differentially interacting region
chr1	16600000	16700000	chr1	17300000	17400000	0,0,255	significant differentially interacting region
chr1	16600000	16700000	chr1	17400000	17500000	0,0,255	significant differentially interacting region
chr1	16700000	16800000	chr1	17300000	17400000	0,0,255	significant differentially interacting region
chr1	16700000	16800000	chr1	17400000	17500000	0,0,255	significant differentially interacting region
chr1	16700000	16800000	chr1	17500000	17600000	0,0,255	significant differentially interacting region
chr1	16700000	16800000	chr1	17600000	17700000	0,0,255	significant differentially interacting region
chr1	19200000	19300000	chr1	19400000	19500000	0,0,255	significant differentially interacting region
chr1	19700000	19800000	chr1	19900000	20000000	0,0,255	significant differentially interacting region
chr1	21600000	21700000	chr1	24300000	24400000	0,0,255	significant differentially interacting region
chr1	22900000	23000000	chr1	54000000	54100000	0,0,255	significant differentially interacting region
chr1	23000000	23100000	chr1	23200000	23300000	0,0,255	significant differentially interacting region
chr1	24300000	24400000	chr1	26600000	26700000	0,0,255	significant differentially interacting region
chr1	24300000	24400000	chr1	27100000	27200000	0,0,255	significant differentially interacting region
chr1	24500000	24600000	chr1	24700000	24800000	0,0,255	significant differentially interacting region
chr1	26900000	27000000	chr1	27100000	27200000	0,0,255	significant differentially interacting region
chr1	33500000	33600000	chr1	34000000	34100000	0,0,255	significant differentially interacting region
chr1	35100000	35200000	chr1	37800000	37900000	0,0,255	significant differentially interacting region
chr1	37200000	37300000	chr1	38600000	38700000	0,0,255	significant differentially interacting region
chr1	37300000	37400000	chr1	38700000	38800000	0,0,255	significant differentially interacting region
chr1	37400000	37500000	chr1	38600000	38700000	0,0,255	significant differentially interacting region
chr1	37500000	37600000	chr1	38600000	38700000	0,0,255	significant differentially interacting region
chr1	37500000	37600000	chr1	38800000	38900000	0,0,255	significant differentially interacting region
chr1	37500000	37600000	chr1	38900000	39000000	0,0,255	significant differentially interacting region
chr1	37600000	37700000	chr1	38700000	38800000	0,0,255	significant differentially interacting region
chr1	37600000	37700000	chr1	38800000	38900000	0,0,255	significant differentially interacting region
chr1	37700000	37800000	chr1	38600000	38700000	0,0,255	significant differentially interacting region
chr1	37700000	37800000	chr1	38700000	38800000	0,0,255	significant differentially interacting region
chr1	37700000	37800000	chr1	38800000	38900000	0,0,255	significant differentially interacting region
chr1	37800000	37900000	chr1	38500000	38600000	0,0,255	significant differentially interacting region
chr1	37800000	37900000	chr1	38600000	38700000	0,0,255	significant differentially interacting region
chr1	40000000	40100000	chr1	42000000	42100000	0,0,255	significant differentially interacting region
chr1	40500000	40600000	chr1	40800000	40900000	0,0,255	significant differentially interacting region
chr1	43300000	43400000	chr1	43500000	43600000	0,0,255	significant differentially interacting region
chr1	43600000	43700000	chr1	43800000	43900000	0,0,255	significant differentially interacting region
chr1	48800000	48900000	chr1	52200000	52300000	0,0,255	significant differentially interacting region
chr1	49200000	49300000	chr1	51600000	51700000	0,0,255	significant differentially interacting region
chr1	49500000	49600000	chr1	51300000	51400000	0,0,255	significant differentially interacting region
chr1	49700000	49800000	chr1	51100000	51200000	0,0,255	significant differentially interacting region
chr1	49700000	49800000	chr1	51300000	51400000	0,0,255	significant differentially interacting region
chr1	50800000	50900000	chr1	51600000	51700000	0,0,255	significant differentially interacting region
chr1	55300000	55400000	chr1	56600000	56700000	0,0,255	significant differentially interacting region
chr1	55300000	55400000	chr1	56900000	57000000	0,0,255	significant differentially interacting region
chr1	55400000	55500000	chr1	57100000	57200000	0,0,255	significant differentially interacting region
chr1	55400000	55500000	chr1	57200000	57300000	0,0,255	significant differentially interacting region
chr1	55400000	55500000	chr1	58800000	58900000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56200000	56300000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56300000	56400000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56400000	56500000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56500000	56600000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56600000	56700000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56700000	56800000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56800000	56900000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	56900000	57000000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	57000000	57100000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	57100000	57200000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	57200000	57300000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	57300000	57400000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	58500000	58600000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	58600000	58700000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	58700000	58800000	0,0,255	significant differentially interacting region
chr1	55500000	55600000	chr1	58800000	58900000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56100000	56200000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56200000	56300000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56300000	56400000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56400000	56500000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56500000	56600000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56600000	56700000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56700000	56800000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	56800000	56900000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	57000000	57100000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	57100000	57200000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	57200000	57300000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	58000000	58100000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	58500000	58600000	0,0,255	significant differentially interacting region
chr1	55600000	55700000	chr1	58600000	58700000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56200000	56300000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56300000	56400000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56400000	56500000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56600000	56700000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56700000	56800000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	56800000	56900000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	57000000	57100000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	57100000	57200000	0,0,255	significant differentially interacting region
chr1	55700000	55800000	chr1	57200000	57300000	0,0,255	significant differentially interacting region
chr1	55800000	55900000	chr1	56300000	56400000	0,0,255	significant differentially interacting region
chr1	55800000	55900000	chr1	57000000	57100000	0,0,255	significant differentially interacting region
chr1	55800000	55900000	chr1	57100000	57200000	0,0,255	significant differentially interacting region
chr1	59100000	59200000	chr1	60000000	60100000	0,0,255	significant differentially interacting region
chr1	59100000	59200000	chr1	60100000	60200000	0,0,255	significant differentially interacting region
chr1	59100000	59200000	chr1	60200000	60300000	0,0,255	significant differentially interacting region
chr1	59200000	59300000	chr1	60000000	60100000	0,0,255	significant differentially interacting region
chr1	59200000	59300000	chr1	60100000	60200000	0,0,255	significant differentially interacting region
chr1	59200000	59300000	chr1	60200000	60300000	0,0,255	significant differentially interacting region
chr1	60600000	60700000	chr1	62000000	62100000	0,0,255	significant differentially interacting region
chr1	60600000	60700000	chr1	62200000	62300000	0,0,255	significant differentially interacting region
chr1	60600000	60700000	chr1	62400000	62500000	0,0,255	significant differentially interacting region
chr1	60600000	60700000	chr1	62600000	62700000	0,0,255	significant differentially interacting region
chr1	60700000	60800000	chr1	62300000	62400000	0,0,255	significant differentially interacting region
chr1	60800000	60900000	chr1	62300000	62400000	0,0,255	significant differentially interacting region
chr1	60900000	61000000	chr1	62300000	62400000	0,0,255	significant differentially interacting region
chr1	61100000	61200000	chr1	62300000	62400000	0,0,255	significant differentially interacting region
chr1	61200000	61300000	chr1	62300000	62400000	0,0,255	significant differentially interacting region
chr1	61300000	61400000	chr1	62400000	62500000	0,0,255	significant differentially interacting region
chr1	64000000	64100000	chr1	64600000	64700000	0,0,255	significant differentially interacting region
chr1	64700000	64800000	chr1	65200000	65300000	0,0,255	significant differentially interacting region
chr1	65200000	65300000	chr1	66100000	66200000	0,0,255	significant differentially interacting region
chr1	65500000	65600000	chr1	66000000	66100000	0,0,255	significant differentially interacting region
chr1	65500000	65600000	chr1	66100000	66200000	0,0,255	significant differentially interacting region
chr1	65600000	65700000	chr1	66100000	66200000	0,0,255	significant differentially interacting region
chr1	65700000	65800000	chr1	66100000	66200000	0,0,255	significant differentially interacting region
chr1	68000000	68100000	chr1	68200000	68300000	0,0,255	significant differentially interacting region
chr1	68300000	68400000	chr1	70100000	70200000	0,0,255	significant differentially interacting region
chr1	68500000	68600000	chr1	70000000	70100000	0,0,255	significant differentially interacting region
chr1	68500000	68600000	chr1	70200000	70300000	0,0,255	significant differentially interacting region
chr1	68600000	68700000	chr1	70100000	70200000	0,0,255	significant differentially interacting region
chr1	68900000	69000000	chr1	69900000	70000000	0,0,255	significant differentially interacting region
chr1	68900000	69000000	chr1	70100000	70200000	0,0,255	significant differentially interacting region
chr1	68900000	69000000	chr1	70200000	70300000	0,0,255	significant differentially interacting region
chr1	69000000	69100000	chr1	70100000	70200000	0,0,255	significant differentially interacting region
chr1	71500000	71600000	chr1	72700000	72800000	0,0,255	significant differentially interacting region
chr1	71500000	71600000	chr1	73700000	73800000	0,0,255	significant differentially interacting region
chr1	71600000	71700000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	71700000	71800000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	71800000	71900000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	71800000	71900000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	71900000	72000000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	71900000	72000000	chr1	75200000	75300000	0,0,255	significant differentially interacting region
chr1	72000000	72100000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	72000000	72100000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72100000	72200000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	72200000	72300000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72300000	72400000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72400000	72500000	chr1	74800000	74900000	0,0,255	significant differentially interacting region
chr1	72400000	72500000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	72400000	72500000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72500000	72600000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	72600000	72700000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	72600000	72700000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72700000	72800000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	72700000	72800000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	72700000	72800000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72800000	72900000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	72800000	72900000	chr1	75200000	75300000	0,0,255	significant differentially interacting region
chr1	72900000	73000000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	72900000	73000000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73000000	73100000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73000000	73100000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	73000000	73100000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73100000	73200000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73200000	73300000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73300000	73400000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73300000	73400000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73400000	73500000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73400000	73500000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73500000	73600000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73500000	73600000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73700000	73800000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73700000	73800000	chr1	75100000	75200000	0,0,255	significant differentially interacting region
chr1	73800000	73900000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	73900000	74000000	chr1	74900000	75000000	0,0,255	significant differentially interacting region
chr1	74000000	74100000	chr1	75000000	75100000	0,0,255	significant differentially interacting region
chr1	78300000	78400000	chr1	79000000	79100000	0,0,255	significant differentially interacting region
chr1	79300000	79400000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79300000	79400000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	79400000	79500000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79400000	79500000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	79500000	79600000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79600000	79700000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79600000	79700000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	79800000	79900000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79800000	79900000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	79900000	80000000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	79900000	80000000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80100000	80200000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	80100000	80200000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80200000	80300000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80300000	80400000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80400000	80500000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80500000	80600000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80500000	80600000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80500000	80600000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	80600000	80700000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80600000	80700000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80700000	80800000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	80700000	80800000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80700000	80800000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80700000	80800000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	80800000	80900000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	80800000	80900000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80800000	80900000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80900000	81000000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	80900000	81000000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	80900000	81000000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	80900000	81000000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	81000000	81100000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81000000	81100000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81100000	81200000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81200000	81300000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81200000	81300000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81200000	81300000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81300000	81400000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81300000	81400000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81300000	81400000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	81400000	81500000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81400000	81500000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81400000	81500000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81400000	81500000	chr1	85000000	85100000	0,0,255	significant differentially interacting region
chr1	81500000	81600000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81500000	81600000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81600000	81700000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81600000	81700000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81600000	81700000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	81700000	81800000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81700000	81800000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81700000	81800000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81700000	81800000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	81800000	81900000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81800000	81900000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81800000	81900000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81800000	81900000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	81900000	82000000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	81900000	82000000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	81900000	82000000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	81900000	82000000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	82000000	82100000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	82000000	82100000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	82000000	82100000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82000000	82100000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	82000000	82100000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	82100000	82200000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	82100000	82200000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	82100000	82200000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82200000	82300000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	82200000	82300000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82300000	82400000	chr1	83700000	83800000	0,0,255	significant differentially interacting region
chr1	82300000	82400000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82300000	82400000	chr1	83900000	84000000	0,0,255	significant differentially interacting region
chr1	82400000	82500000	chr1	83600000	83700000	0,0,255	significant differentially interacting region
chr1	82500000	82600000	chr1	85100000	85200000	0,0,255	significant differentially interacting region
chr1	82500000	82600000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	82600000	82700000	chr1	85100000	85200000	0,0,255	significant differentially interacting region
chr1	82700000	82800000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82700000	82800000	chr1	85000000	85100000	0,0,255	significant differentially interacting region
chr1	82700000	82800000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	82700000	82800000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	82800000	82900000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	82900000	83000000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83000000	83100000	chr1	85000000	85100000	0,0,255	significant differentially interacting region
chr1	83000000	83100000	chr1	85100000	85200000	0,0,255	significant differentially interacting region
chr1	83000000	83100000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83100000	83200000	chr1	85000000	85100000	0,0,255	significant differentially interacting region
chr1	83100000	83200000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83100000	83200000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	83200000	83300000	chr1	83800000	83900000	0,0,255	significant differentially interacting region
chr1	83200000	83300000	chr1	85100000	85200000	0,0,255	significant differentially interacting region
chr1	83200000	83300000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83200000	83300000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
chr1	83300000	83400000	chr1	85000000	85100000	0,0,255	significant differentially interacting region
chr1	83300000	83400000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83500000	83600000	chr1	85200000	85300000	0,0,255	significant differentially interacting region
chr1	83500000	83600000	chr1	85300000	85400000	0,0,255	significant differentially interacting region
